smiles,logSolubility,split
OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,-0.77,test
Cc1occc1C(=O)Nc2ccccc2,-3.3,test
CC(C)=CCCC(C)=CC(=O),-2.06,train
c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,-7.87,test
c1ccsc1,-1.33,test
c2ccc1scnc1c2 ,-1.5,train
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,-7.32,train
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,-5.03,train
ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,-6.29,test
COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,-4.42,test
O=C1CCCN1,1.07,test
Clc1ccc2ccccc2c1,-4.14,train
CCCC=C,-2.68,train
CCC1(C(=O)NCNC1=O)c2ccccc2,-2.64,test
CCCCCCCCCCCCCC,-7.96,train
CC(C)Cl,-1.41,train
CCC(C)CO,-0.47,train
N#Cc1ccccc1,-1.0,train
CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,-3.64,train
CCCCCCCCCC(C)O,-2.94,train
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,-7.43,train
O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,-4.593999999999999,test
CCOP(=S)(OCC)SCSCC,-4.11,train
CCOc1ccc(NC(=O)C)cc1,-2.35,train
CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,-5.47,train
CCCCCCCO,-1.81,train
Cn1c(=O)n(C)c2nc[nH]c2c1=O,-1.39,train
CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.661,train
ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-6.9,test
CCCCCCCC(=O)OC,-3.17,train
CCc1ccc(CC)cc1,-3.75,train
CCOP(=S)(OCC)SCSC(C)(C)C,-4.755,train
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.805,val
ClC(=C)Cl,-1.64,train
Cc1cccc2c1Cc3ccccc32,-5.22,val
CCCCC=O,-0.85,train
N(c1ccccc1)c2ccccc2,-3.504,test
CN(C)C(=O)SCCCCOc1ccccc1,-3.927,train
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.15,test
CCCCCCCI,-4.81,train
c1c(Cl)cccc1c2ccccc2,-4.88,train
OCCCC=C,-0.15,train
O=C2NC(=O)C1(CCC1)C(=O)N2,-1.655,test
CC(C)C1CCC(C)CC1O ,-2.53,train
CC(C)OC=O,-0.63,train
CCCCCC(C)O,-1.55,train
CC(=O)Nc1ccc(Br)cc1,-3.083,train
c1ccccc1n2ncc(N)c(Br)c2(=O),-3.127,train
COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,-4.76,test
c2c(C)cc1nc(C)ccc1c2 ,-1.94,train
CCCCCCC#C,-3.66,train
CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,-2.17,test
c1ccc2c(c1)ccc3c4ccccc4ccc23,-8.057,train
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,-2.523,train
Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-8.6,train
Cc1ccccc1O,-0.62,train
CC(C)CCC(C)(C)C,-5.05,train
Cc1ccc(C)c2ccccc12,-4.14,train
Cc1cc2c3ccccc3ccc2c4ccccc14,-6.57,train
CCCC(=O)C,-0.19,train
