smiles,freesolv,split
CN(C)C(=O)c1ccc(cc1)OC,-11.01,train
CS(=O)(=O)Cl,-4.87,train
CC(C)C=C,1.83,train
CCc1cnccn1,-5.45,val
CCCCCCCO,-4.21,train
Cc1cc(cc(c1)O)C,-6.27,train
CC(C)C(C)C,2.34,train
CCCC(C)(C)O,-3.92,train
C[C@@H]1CCCC[C@@H]1C,1.58,val
CC[C@H](C)O,-4.62,train
C(Br)Br,-1.96,train
CC[C@H](C(C)C)O,-3.88,train
CCc1ccccn1,-4.33,test
CCCCC(=O)OCC,-2.49,train
c1ccc(cc1)S,-2.55,train
CC(=CCC/C(=C\CO)/C)C,-4.78,train
c1ccc2c(c1)CCC2,-1.46,train
CCOc1ccccc1,-2.22,train
c1cc(ccc1O)Br,-5.85,train
CCCC(C)(C)C,2.88,train
CC(=O)OCCOC(=O)C,-6.34,train
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1,train
C1CCCC(CC1)O,-5.48,val
COC(=O)C1CC1,-4.1,train
c1ccc(cc1)C#N,-4.1,train
CCCCC#N,-3.52,train
CC(C)(C)O,-4.47,train
CC(C)C(=O)C(C)C,-2.74,train
CCC=O,-3.43,train
CN(C)C=O,-7.81,train
Cc1ccc(cc1)C,-0.8,train
C=CCC=C,0.93,train
Cc1cccc(c1C)Nc2ccccc2C(=O)O,-6.78,val
CN(C)C(=O)c1ccccc1,-9.29,train
CCNCC,-4.07,train
CC(C)(C)c1ccc(cc1)O,-5.91,train
CC(C)CCOC=O,-2.13,train
CCCCCCCCCCO,-3.64,train
CCC(=O)OCC,-2.68,train
CCCCCCCCC,3.13,train
CC(=O)NC,-10.0,train
CCCCCCCC=C,2.06,train
c1ccc2cc(ccc2c1)O,-8.11,train
c1cc(c(cc1Cl)Cl)Cl,-1.12,train
C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,-23.62,train
CCCC(=O)OC,-2.83,train
c1ccc(c(c1)C=O)O,-4.68,train
C1CNC1,-5.56,test
CCCNCCC,-3.65,train
c1ccc(cc1)N,-5.49,train
C(F)(F)(F)F,3.12,train
CC[C@@H](C)CO,-4.42,train
c1ccc(c(c1)O)I,-6.2,train
COc1cccc(c1O)OC,-6.96,train
CCC#C,-0.16,train
c1ccc(cc1)C(F)(F)F,-0.25,train
NN,-9.3,train
Cc1ccccn1,-4.63,test
CCNc1nc(nc(n1)Cl)NCC,-10.22,val
c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl,-3.56,val
CCCCCCCCN,-3.65,train
N,-4.29,train
c1ccc(c(c1)C(F)(F)F)C(F)(F)F,1.07,train
COC(=O)c1ccc(cc1)O,-9.51,train
CCCCCc1ccccc1,-0.23,train
CC(F)F,-0.11,train
c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl,-16.43,val
C=CC=C,0.56,train
CN(C)C,-3.2,train
CCCCCC(=O)N,-9.31,train
CC(C)CO[N+](=O)[O-],-1.88,train
c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO,-14.21,val
C(CO[N+](=O)[O-])O,-8.18,train
CCCCCCC(=O)C,-2.88,train
CN1CCNCC1,-7.77,test
CCN,-4.5,train
C1C=CC=CC=C1,-0.99,val
c1ccc2c(c1)Cc3ccccc3C2,-3.78,val
CC(Cl)Cl,-0.84,train
COc1cccc(c1)O,-7.66,train
c1cc2cccc3c2c(c1)CC3,-3.15,test
CCCCCCCCBr,0.52,train
c1ccc(cc1)CO,-6.62,train
c1c(c(=O)[nH]c(=O)[nH]1)Br,-18.17,val
CCCC,2.1,train
CCl,-0.55,train
CC(C)CBr,-0.03,train
CC(C)SC(C)C,-1.21,train
CCCCCCC,2.67,train
c1cnc[nH]1,-9.63,test
c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl,-3.84,val
CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br,-9.73,val
C(I)I,-2.49,train
CCCN(CCC)C(=O)SCCC,-4.13,train
C[N+](=O)[O-],-4.02,train
CCOC,-2.1,train
COC(CCl)(OC)OC,-4.59,train
CC(C)C,2.3,train
CC(C)CC(=O)O,-6.09,train
CCOP(=O)(OCC)O/C(=C/Cl)/c1ccc(cc1Cl)Cl,-7.07,train
CCCCl,-0.33,train
CCCSCCC,-1.28,train
CCC[C@H](CC)O,-4.06,train
CC#N,-3.88,train
CN(CC(F)(F)F)c1ccccc1,-1.92,train
[C@@H](C(F)(F)F)(OC(F)F)Cl,0.1,train
C=CCCC=C,1.01,train
Cc1cccc(c1)C,-0.83,train
CC(=O)OC,-3.13,train
COC(c1ccccc1)(OC)OC,-4.04,train
CCOC(=O)c1ccccc1,-3.64,train
CCCS,-1.1,train
CCCCCC(=O)C,-3.04,train
CC1(Cc2cccc(c2O1)OC(=O)NC)C,-9.61,test
c1ccc(cc1)CBr,-2.38,train
CCCCCC(=O)OCC,-2.23,train
CCCOC,-1.66,train
CN1CCOCC1,-6.32,val
c1cc(cc(c1)O)C#N,-9.65,train
c1cc(c(cc1c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,-4.38,test
CCCc1ccccc1,-0.53,train
Cn1cnc2c1c(=O)n(c(=O)n2C)C,-12.64,test
CNC,-4.29,train
C(=C(F)F)(C(F)(F)F)F,2.93,train
c1cc(ccc1O)Cl,-7.03,train
C1CCNCC1,-5.11,train
c1ccc2c(c1)ccc3c2cccc3,-3.88,train
CI,-0.89,train
COc1c(cc(c(c1O)OC)Cl)Cl,-6.44,train
C(=C/Cl)\Cl,-0.78,train
CCCCC,2.3,train
CCCC#N,-3.64,train
[C@@H](C(F)(F)F)(F)Br,0.5,train
CC(C)Cc1cnccn1,-5.04,val
CC[C@H](C)O[N+](=O)[O-],-1.82,train
c1ccc(cc1)c2cc(ccc2Cl)Cl,-2.46,test
c1ccc(cc1)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.48,test
CC[C@@H](C)C(C)C,2.52,train
C[C@H](CC(C)C)O,-3.73,train
C1CCOCC1,-3.12,test
C1CC1,0.75,train
c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.17,test
C=C(Cl)Cl,0.25,train
CC(C)CO,-4.5,train
CCCOC(=O)CC,-2.44,train
C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,-0.64,train
CSc1ccccc1,-2.73,train
CCc1ccccc1O,-5.66,train
CC(C)(C)Cl,1.09,train
